ds_name,method,noise_type,noise_level,random_state,accuracy_final,accuracy_max,auroc,fpr,fpr_50,fpr_10
credit_card_fraud,aum,asymmetric,0.1,45,0.999476838701296,0.9994908832999189,0.9998459730996335,0.0021291435703535114,0.0018836333193804938,0.003134796238244514
credit_card_fraud,naive,asymmetric,0.1,45,0.999476838701296,0.9994908832999189,0.999738390835934,0.002794076557697681,0.002794076557697681,0.002794076557697681
credit_card_fraud,positive,asymmetric,0.1,45,0.999476838701296,0.9994908832999189,0.9998459730996335,0.0021291435703535114,0.0018836333193804938,0.003134796238244514
credit_card_fraud,entropy,asymmetric,0.1,45,0.999476838701296,0.9994908832999189,0.6272777358151557,0.8910103484637684,0.8561344233611874,0.7337426737370918
credit_card_fraud,cross_val,asymmetric,0.1,45,0.999476838701296,0.9994908832999189,0.9997697543204684,0.002531924262439454,0.0027185278126306985,0.00625
credit_card_fraud,normalized_margins,asymmetric,0.1,45,0.999476838701296,0.9994908832999189,0.9997697543204683,0.002531924262439454,0.0027185278126306985,0.00625
credit_card_fraud,cleanlab,asymmetric,0.1,45,0.999476838701296,0.9994908832999189,0.8606148298637751,0.899531963750891,0.0027185278126306985,0.00625
human_activity_recognition,aum,asymmetric,0.1,45,0.9870861248664919,0.9870861248664919,0.9984738003821366,0.061704211557296766,0.0039447731755424065,0.0
human_activity_recognition,naive,asymmetric,0.1,45,0.9870861248664919,0.9870861248664919,0.9969854197048948,0.08773584905660377,0.016304347826086956,0.0
human_activity_recognition,positive,asymmetric,0.1,45,0.9870861248664919,0.9870861248664919,0.9979274793809428,0.07973102785782901,0.00980392156862745,0.0
human_activity_recognition,entropy,asymmetric,0.1,45,0.9870861248664919,0.9870861248664919,0.9802688611964867,0.3012399708242159,0.2518518518518518,0.09009009009009009
human_activity_recognition,cross_val,asymmetric,0.1,45,0.9870861248664919,0.9870861248664919,0.9995863920090552,0.019447287615148412,0.0,0.0
human_activity_recognition,normalized_margins,asymmetric,0.1,45,0.9870861248664919,0.9870861248664919,0.9995954600202057,0.022448979591836733,0.0,0.0
human_activity_recognition,cleanlab,asymmetric,0.1,45,0.9870861248664919,0.9870861248664919,0.9897988075031926,0.02044989775051125,0.0,0.0
digits,aum,asymmetric,0.1,46,0.9393433500278241,0.9410127991096272,0.9937331269822542,0.228310502283105,0.011111111111111112,0.0
digits,naive,asymmetric,0.1,46,0.9393433500278241,0.9410127991096272,0.9172397998487067,0.900946021146355,0.010638297872340425,0.0
